team,nickname,from,to,venue
Adelaide,Adelaide Crows,1991,,Football Park
Brisbane Bears,Brisbane Bears,1987,1992,Carrara
Brisbane Bears,Brisbane Bears,1993,1996,Gabba
Brisbane Lions,Brisbane Lions,1997,,Gabba
Carlton,Carlton Blues,,,Princes Park
Collingwood,Collingwood Magpies,,1999,Victoria Park
Collingwood,Collingwood Magpies,2000,,AIA Centre
Essendon,Essendon Bombers,,2012,Windy Hill
Essendon,Essendon Bombers,2013,,The Hangar
Fitzroy,Fitzroy Lions,,1996,Brunswick Street Oval
Footscray,Footscray Bulldogs,,1996,Western Oval
Fremantle,Fremantle Dockers,1995,2017,Subiaco
Fremantle,Fremantle Dockers,2018,,Perth Stadium
Geelong,Geelong Cats,,,Kardinia Park
Gold Coast,Gold Coast Suns,2011,,Carrara
Greater Western Sydney,GWS Giants,2012,,Showground
Hawthorn,Hawthorn Hawks,,2024,Waverley Park
Hawthorn,Hawthorn Hawks,2025,,Kennedy Community Centre
Melbourne,Melbourne Demons,,,M.C.G.
North Melbourne,North Melbourne Kangaroos,,1998,Arden Street Oval
Kangaroos,North Melbourne Kangaroos,1999,2007,Arden Street Oval
North Melbourne,North Melbourne Kangaroos,2008,,Arden Street Oval
Port Adelaide,Port Power,1997,,Alberton Oval
Richmond,Richmond Tigers,,,Punt Road Oval
St Kilda,St Kilda Saints,,,Moorabbin Oval
Sydney,Sydney Swans,1982,,S.C.G.
West Coast,West Coast Eagles,1987,,Lathlain Park
Western Bulldogs,Western Bulldogs,1997,,Western Oval
