season,round,datetime,venue,for_team,for_is_home,for_goals1,for_behinds1,for_goals2,for_behinds2,for_goals3,for_behinds3,for_goals4,for_behinds4,for_total_score,for_match_points,for_is_win,for_is_draw,for_is_loss,against_team,against_is_home,against_goals1,against_behinds1,against_goals2,against_behinds2,against_goals3,against_behinds3,against_goals4,against_behinds4,against_total_score,against_match_points,against_is_win,against_is_draw,against_is_loss,edge_type,for_total_goals,for_total_behinds,against_total_goals,against_total_behinds
1990,R1,Sat 31-Mar-1990 2:10 PM,M.C.G.,Melbourne,False,6,2,4,1,7,4,5,3,142,4,True,False,False,North Melbourne,True,2,5,3,4,4,4,3,4,89,0,False,False,True,defeated,22,10,12,17
1990,R1,Sat 31-Mar-1990 2:10 PM,Waverley Park,Geelong,True,5,3,2,3,4,1,0,4,77,0,False,False,True,Hawthorn,False,3,4,6,7,9,7,10,6,192,4,True,False,False,lost-to,11,11,28,24
1990,R1,Sat 31-Mar-1990 2:10 PM,Princes Park,Carlton,True,6,5,4,4,2,6,2,0,99,0,False,False,True,Sydney,False,2,1,1,5,6,3,6,5,104,4,True,False,False,lost-to,14,15,15,14
1990,R1,Sat 31-Mar-1990 2:10 PM,Windy Hill,Essendon,True,7,4,6,7,4,4,3,6,141,4,True,False,False,Fitzroy,False,3,1,2,4,1,3,2,4,60,0,False,False,True,defeated,20,21,8,12
1990,R1,Sat 31-Mar-1990 7:40 PM,Carrara,Brisbane Bears,True,4,3,3,2,6,9,6,5,133,4,True,False,False,Richmond,False,2,4,4,5,1,3,3,2,74,0,False,False,True,defeated,19,19,10,14
1990,R1,Sun 01-Apr-1990 12:10 PM,Subiaco,Collingwood,False,2,3,2,1,2,2,2,0,54,0,False,False,True,West Coast,True,4,4,2,3,3,4,5,5,100,4,True,False,False,lost-to,8,6,14,16
1990,R1,Sun 01-Apr-1990 2:10 PM,Western Oval,Footscray,True,3,4,1,6,2,2,5,3,81,0,False,False,True,St Kilda,False,6,2,5,6,6,3,5,1,144,4,True,False,False,lost-to,11,15,22,12
1990,R2,Fri 06-Apr-1990 7:40 PM,M.C.G.,North Melbourne,False,13,3,5,4,6,5,8,5,209,4,True,False,False,Richmond,True,2,1,2,7,2,2,3,4,68,0,False,False,True,defeated,32,17,9,14
1990,R2,Sat 07-Apr-1990 2:10 PM,Princes Park,Brisbane Bears,False,1,5,2,0,1,3,4,3,59,0,False,False,True,Fitzroy,True,2,2,3,7,6,4,2,7,98,4,True,False,False,lost-to,8,11,13,20
1990,R2,Sat 07-Apr-1990 2:10 PM,Moorabbin Oval,St Kilda,True,4,6,7,3,5,6,2,4,127,4,True,False,False,West Coast,False,1,0,2,1,2,2,5,6,69,0,False,False,True,defeated,18,19,10,9
1990,R2,Sat 07-Apr-1990 2:10 PM,M.C.G.,Geelong,False,5,3,5,2,2,5,1,3,91,0,False,False,True,Melbourne,True,4,9,3,2,4,3,7,6,128,4,True,False,False,lost-to,13,13,18,20
1990,R2,Sat 07-Apr-1990 2:10 PM,Waverley Park,Carlton,True,4,3,3,0,3,2,3,4,87,0,False,False,True,Collingwood,False,1,1,5,5,4,1,9,1,122,4,True,False,False,lost-to,13,9,19,8
1990,R2,Sun 08-Apr-1990 2:10 PM,S.C.G.,Footscray,False,3,2,4,4,8,8,5,6,140,4,True,False,False,Sydney,True,3,4,1,8,3,3,3,3,78,0,False,False,True,defeated,20,20,10,18
1990,R2,Sun 08-Apr-1990 2:10 PM,M.C.G.,Essendon,True,7,2,4,5,4,4,9,4,159,4,True,False,False,Hawthorn,False,2,3,3,2,4,6,5,2,97,0,False,False,True,defeated,24,15,14,13
1990,R3,Sat 14-Apr-1990 2:10 PM,Western Oval,Footscray,True,1,2,0,6,4,7,2,2,59,0,False,False,True,West Coast,False,3,3,6,7,4,0,5,4,122,4,True,False,False,lost-to,7,17,18,14
1990,R3,Sat 14-Apr-1990 2:10 PM,Waverley Park,Carlton,False,3,2,1,2,3,2,7,2,92,4,True,False,False,St Kilda,True,2,1,3,5,5,3,1,1,76,0,False,False,True,defeated,14,8,11,10
1990,R3,Sat 14-Apr-1990 2:10 PM,Princes Park,Hawthorn,True,2,3,2,5,7,6,4,7,111,4,True,False,False,Richmond,False,4,7,3,5,0,5,3,4,81,0,False,False,True,defeated,15,21,10,21
1990,R3,Sun 15-Apr-1990 2:10 PM,Carrara,Brisbane Bears,True,4,1,5,4,3,3,2,3,95,0,False,False,True,North Melbourne,False,5,4,6,2,4,4,2,1,113,4,True,False,False,lost-to,14,11,17,11
1990,R3,Mon 16-Apr-1990 2:10 PM,M.C.G.,Essendon,False,4,3,4,3,1,2,5,3,95,0,False,False,True,Melbourne,True,4,3,5,2,8,2,1,7,122,4,True,False,False,lost-to,14,11,18,14
1990,R3,Mon 16-Apr-1990 2:10 PM,Kardinia Park,Fitzroy,False,0,1,4,5,3,1,4,4,77,0,False,False,True,Geelong,True,6,6,2,5,8,4,6,3,150,4,True,False,False,lost-to,11,11,22,18
1990,R3,Mon 16-Apr-1990 2:10 PM,Victoria Park,Collingwood,True,6,1,3,2,3,2,8,3,128,4,True,False,False,Sydney,False,1,4,4,6,4,6,3,5,93,0,False,False,True,defeated,20,8,12,21
1990,R4,Fri 20-Apr-1990 6:40 PM,W.A.C.A.,Carlton,False,2,3,1,3,3,0,4,4,70,0,False,False,True,West Coast,True,3,2,3,6,5,6,6,4,120,4,True,False,False,lost-to,10,10,17,18
1990,R4,Sat 21-Apr-1990 2:10 PM,Victoria Park,Collingwood,True,7,5,3,1,3,4,1,2,96,4,True,False,False,Footscray,False,3,2,0,5,2,1,6,4,78,0,False,False,True,defeated,14,12,11,12
1990,R4,Sat 21-Apr-1990 2:10 PM,Waverley Park,Fitzroy,True,3,3,3,3,1,2,2,2,64,0,False,False,True,Melbourne,False,5,3,0,1,5,3,3,4,89,4,True,False,False,lost-to,9,10,13,11
1990,R4,Sat 21-Apr-1990 2:10 PM,Princes Park,Brisbane Bears,False,2,4,1,1,0,2,2,1,38,0,False,False,True,Hawthorn,True,3,2,4,2,6,4,5,4,120,4,True,False,False,lost-to,5,8,18,12
1990,R4,Sat 21-Apr-1990 2:10 PM,M.C.G.,Essendon,False,5,3,4,6,5,7,4,3,127,4,True,False,False,Richmond,True,3,5,0,2,2,2,1,4,49,0,False,False,True,defeated,18,19,6,13
1990,R4,Sun 22-Apr-1990 2:10 PM,S.C.G.,St Kilda,False,4,3,3,8,7,3,5,3,131,4,True,False,False,Sydney,True,3,6,1,7,5,3,4,3,97,0,False,False,True,defeated,19,17,13,19
1990,R4,Sun 22-Apr-1990 2:10 PM,M.C.G.,Geelong,False,6,5,4,9,4,7,6,2,143,4,True,False,False,North Melbourne,True,5,5,3,6,3,6,4,5,112,0,False,False,True,defeated,20,23,15,22
1990,R5,Wed 25-Apr-1990 2:10 PM,M.C.G.,Fitzroy,False,2,2,1,3,2,3,4,2,64,0,False,False,True,Richmond,True,3,6,7,4,7,4,4,3,143,4,True,False,False,lost-to,9,10,21,17
1990,R5,Wed 25-Apr-1990 2:10 PM,Princes Park,Carlton,True,3,7,2,4,2,4,3,1,76,0,False,False,True,Footscray,False,2,1,3,4,5,4,5,4,103,4,True,False,False,lost-to,10,16,15,13
1990,R5,Sat 28-Apr-1990 2:10 PM,M.C.G.,Collingwood,False,6,5,1,8,1,5,4,2,92,4,True,False,False,St Kilda,True,4,2,2,4,3,3,4,4,91,0,False,False,True,defeated,12,20,13,13
1990,R5,Sat 28-Apr-1990 2:10 PM,Princes Park,Hawthorn,True,5,4,4,3,2,3,5,2,108,4,True,False,False,North Melbourne,False,1,3,2,5,3,2,4,8,78,0,False,False,True,defeated,16,12,10,18
1990,R5,Sat 28-Apr-1990 2:10 PM,Waverley Park,Essendon,True,3,4,0,2,7,6,1,3,81,0,False,False,True,Geelong,False,1,3,5,6,2,3,4,5,89,4,True,False,False,lost-to,11,15,12,17
1990,R5,Sat 28-Apr-1990 7:40 PM,Carrara,Brisbane Bears,True,3,2,2,5,3,2,0,4,61,0,False,False,True,Melbourne,False,5,1,1,2,8,2,5,6,125,4,True,False,False,lost-to,8,13,19,11
