venue,ground,latitude,longitude,locality,state,aliases
Adelaide Oval,Adelaide Oval,-34.9156,138.5961,Adelaide,SA,
Alberton Oval,Alberton Oval,-34.864444,138.519444,Alberton,SA,
Arden Street Oval,Arden Street Oval,-37.798638,144.941552,North Melbourne,VIC,North Melbourne Cricket Ground;North Melbourne Recreation Reserve;Hotham Recreation Reserve
Barossa Oval,Lyndoch Recreation Park,-34.597939,138.885835,Lyndoch,SA,Barossa Park
Bellerive Oval,Bellerive Oval,-42.8773,147.3735,Bellerive,TAS,Blundstone Arena
Blacktown,Blacktown International Sportspark Oval,-33.769444,150.859167,Rooty Hill,NSW,Blacktown ISP Oval;Blacktown ISP
Bruce Stadium,Canberra Stadium,-35.25,149.102778,Bruce,ACT,GIO Stadium Canberra;GIO Stadium;Bruce Stadium;National Athletics Stadium
Brunswick Street Oval,Brunswick Street Oval,-37.789039,144.980906,Brunswick,VIC,
Carrara,Carrara Stadium,-28.0063,153.3669,Gold Coast,QLD,
Cazaly's Stadium,Cazaly's Stadium,-16.9358,145.7492,Westcourt,QLD,
Docklands,Docklands Stadium,-37.8165,144.9474,Melbourne,VIC,Marvel Stadium;Etihad Stadium;Telstra Dome;Colonial Stadium
Eureka Stadium,Eureka Stadium,-37.53841,143.84803,Wendouree,VIC,Mars Stadium;Northern Oval #1;AUSTAR Arena
Football Park,Football Park,-34.88,138.495556,West Lakes,SA,AAMI Stadium
Gabba,Brisbane Cricket Ground,-27.4859,153.0381,Woolloongabba,QLD,
Hands Oval,JE Hands Memorial Park,-33.346111,115.642778,Bunbury,WA,South Bunbury Showgrounds
Jiangwan Stadium,Jiangwan Stadium,31.3068,121.5154,Shanghai,Yangpu District,Shanghai Stadium
Kardinia Park,Kardinia Park,-38.158056,144.354722,South Geelong,VIC,GMHBA Stadium;Skilled Stadium;Shell Stadium;Baytec Stadium;Simonds Stadium
Kennedy Community Centre,Kennedy Community Centre,-37.96538,145.126083,Dingley Village,VIC,
Lathlain Park,Lathlain Park,-31.9725,115.9075,Lathlain,WA,Mineral Resources Park
Manuka Oval,Manuka Oval,-35.318102,149.134598,Griffith,ACT,UNSW Canberra Oval;StarTrack Oval
Marrara Oval,Marrara Oval,-12.3992,130.8872,Darwin,NT,TIO Stadium
M.C.G.,Melbourne Cricket Ground,-37.82,144.9832,Richmond,VIC,
Moorabbin Oval,Moorabbin Oval,-37.9375,145.0439,Moorabbin,VIC,RSEA Safety Park;RSEA Park
North Hobart,North Hobart Oval,-42.867778,147.315833,North Hobart,TAS,
Norwood Oval,Norwood Oval,-34.91849633,138.6249975,Norwood,SA,Coopers Stadium
AIA Centre,Olympic Park Oval,-37.824722,144.981389,Melbourne,VIC,KGM Centre
Perth Stadium,Perth Stadium,-31.951111,115.889028,Burswood,WA,Optus Stadium
Princes Park,Princes Park,-37.7839,144.9617,Carlton,VIC,Ikon Park;Visy Park;MC Labour Park;Optus Oval;Carlton Recreation Ground
Punt Road Oval,Richmond Cricket Ground,-37.822222,144.987778,Richmond,VIC,Swinburn Centre
Riverway Stadium,Riverway Stadium,-19.317222,146.731667,Townsville,QLD,Tony Ireland Stadium;Pioneer Park
S.C.G.,Sydney Cricket Ground,-33.8917,151.2247,Sydney,NSW,
Showground,Sydney Showground Stadium,-33.843056,151.067778,Sydney Olympic Park,NSW,Giants Stadium;Spotless Stadium;Škoda Stadium
Stad. Aust.,Stadium Australia,-33.847222,151.063333,Sydney Olympic Park,NSW,ANZ Stadium;Telstra Stadium
Subiaco,Subiaco Oval,-31.9444,115.83,Subiaco,WA,Mueller Park;Patersons Stadium;Domain Stadium
Summit Sports Park,Summit Sport and Recreation Park,-35.07799,138.8934,Mount Barker,SA,
The Hangar,The Hangar,-37.690556,144.868889,Melbourne Airport,VIC,NEC Hangar
Traeger Park,Traeger Park,-23.709039,133.875083,Alice Springs,NT,TIO Traeger Park
Victoria Park,Victoria Park,-37.798255,144.996443,Abbotsford,VIC,
W.A.C.A.,WACA Ground,-31.96,115.8797,East Perth,WA,
Waverley Park,Waverley Park,-37.9256,145.1886,Mulgrave,VIC,
Wellington,Wellington Regional Stadium,-41.2731,174.7858,Wellington,NZ,Sky Stadium;Westpac Stadium;WestpacTrust Stadium
Western Oval,Whitten Oval,-37.799166,144.886748,West Footscray,VIC,Victoria University Whitten Oval;Western Oval
Windy Hill,Essendon Recreation Reserve,-37.751919,144.919538,Essendon,VIC,
York Park,York Park,-41.425833,147.138889,Launceston,TAS,University of Tasmania Stadium;Aurora Stadium
